要素 , 単位 ,1月 , 2月 , 3月 , 4月   , 5月   , 6月   , 7月   , 8月   , 9月   , 10月   , 11月   , 12月  , 年 
6,13119,1311905508,譚ｿ讖句玄,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ,8荳∫岼,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ8荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,4,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,2,10,-,-,2,10,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,3,12,-,-,-,-,-,-,-,-,2,11,2,11,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,11,110,1,19,1,3,-,-,1,3,-,-,-,-,-,-,-,-,1,12,3,27,2,4,-,-,1,23,-,-,5,49,3,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,3,18,-,-,-,-,-,-,-,-,-,-,-,-,3,18,3,18,-,-,-,-,-,-,16,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,69,1,11,-,-,6,52,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,1,14,-,-,1,2,-,-,2,8,1,6,1,2,-,-,3,9,-,-,3,9,1,8,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311905509,譚ｿ讖句玄,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ,9荳∫岼,譚ｿ讖句玄鬮伜ｳｶ蟷ｳ9荳∫岼,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,1,3,-,-,1,2,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,3,2,11,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,1,10,-,-,2,31,-,-,-,-,-,-,-,-,-,-,-,-,1,20,-,-,1,20,-,-,1,11,-,-,1,11,-,-,-,-,-,-,-,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,4,34,-,-,-,-,-,-,1,9,1,2,1,2,-,-,-,-,-,-,-,-,2,23,-,-,-,-,2,23,-,-,8,156,1,99,1,1,1,1,-,-,1,10,1,10,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,4,45,1,19,-,-,-,-,-,-,2,24,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,3,29,1,2,-,-,2,27,-,-,1,3,-,-,1,3,-,-,1,6,-,-,1,6,3,89,1,82,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,4,1,6,1,6,-,-,1,6,-,-,-,-,-,-,-,-,-,-
5,13119,1311904900,譚ｿ讖句玄,譚ｿ讖句玄螟ｧ髢�,,譚ｿ讖句玄螟ｧ髢�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311902900,譚ｿ讖句玄,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ,,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,17,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,2,14,-,-,2,14,-,-,-,-,-,-,-,-,2,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,2,8,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,8,50,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,6,45,2,37,1,3,-,-,-,-,1,2,2,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,10,49,1,2,-,-,-,-,1,2,-,-,1,2,1,2,-,-,-,-,-,-,2,10,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,3,1,21,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311902901,譚ｿ讖句玄,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ,1荳∫岼,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,1,8,-,-,1,8,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,2,8,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,5,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,4,40,2,37,-,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,37,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,1,21,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311902902,譚ｿ讖句玄,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ,2荳∫岼,譚ｿ讖句玄譚ｱ譁ｰ逕ｺ2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,6,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,1,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,4,12,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311902700,譚ｿ讖句玄,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,-,-,-,-,-,-,3,9,-,-,-,-,-,-,-,-,3,9,-,-,3,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,34,2,23,-,-,-,-,1,3,-,-,1,20,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,4,9,1,2,1,2,-,-,-,-,-,-,-,-,2,6,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,14,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,5,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,-,-,1,15,4,19,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,2,16,1,226,1,226,-,-,24,52,2,2,2,2,-,-,1,1,9,19,9,19,-,-,5,12,5,12,-,-,7,18,2,4,-,-,5,14,-,-,34,255,-,-,1,1,1,1,-,-,2,7,1,3,1,4,2,5,1,3,11,56,4,22,3,5,4,29,-,-,17,183,6,93,-,-,2,8,2,2,2,69,3,4,2,7,-,-,-,-,8,20,1,1,1,1,-,-,-,-,-,-,3,5,4,14,4,14,-,-,-,-,-,-,44,188,-,-,-,-,-,-,-,-,-,-,3,7,2,5,-,-,1,2,-,-,12,93,2,25,-,-,10,68,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,4,15,1,3,-,-,3,12,-,-,3,7,-,-,3,7,-,-,4,11,-,-,4,11,17,53,-,-,2,3,5,13,1,2,1,2,1,-,-,-,1,1,6,32,3,19,3,19,-,-,-,-,1,5,-,-,2,14,-,-,-,-
6,13119,1311902701,譚ｿ讖句玄,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,1荳∫岼,譚ｿ讖句玄蟶ｸ逶､蜿ｰ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,24,1,20,-,-,-,-,-,-,-,-,1,20,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,6,1,2,1,2,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,7,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,4,16,2,12,1,2,1,2,-,-,2,18,1,17,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,3,7,-,-,-,-,-,-,-,-,-,-,1,1,2,6,2,6,-,-,-,-,-,-,15,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,21,-,-,-,-,4,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,1,3,-,-,2,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,7,22,-,-,-,-,3,9,-,-,-,-,1,-,-,-,-,-,3,13,1,7,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-
6,13119,1311902702,譚ｿ讖句玄,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,2荳∫岼,譚ｿ讖句玄蟶ｸ逶､蜿ｰ2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,-,-,1,15,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,2,4,2,4,-,-,-,-,-,-,8,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,-,6,104,2,29,-,-,1,4,1,1,1,68,1,2,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,13,-,-,-,-,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311902703,譚ｿ讖句玄,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,3荳∫岼,譚ｿ讖句玄蟶ｸ逶､蜿ｰ3荳∫岼,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,2,8,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,14,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,7,-,-,-,-,3,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,17,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,34,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,1,4,-,-,-,-,1,4,-,-,3,26,1,19,-,-,1,4,-,-,-,-,-,-,1,3,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,1,2,1,4,1,4,-,-,-,-,-,-,7,31,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,1,11,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,2,5,1,5,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-
6,13119,1311902704,譚ｿ讖句玄,譚ｿ讖句玄蟶ｸ逶､蜿ｰ,4荳∫岼,譚ｿ讖句玄蟶ｸ逶､蜿ｰ4荳∫岼,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,226,1,226,-,-,20,42,2,2,2,2,-,-,1,1,9,19,9,19,-,-,4,11,4,11,-,-,4,9,-,-,-,-,4,9,-,-,14,75,-,-,1,1,1,1,-,-,1,3,1,3,-,-,-,-,-,-,6,36,2,10,2,3,2,23,-,-,6,35,2,28,-,-,-,-,1,1,-,-,2,2,1,4,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,1,2,1,4,1,4,-,-,-,-,-,-,16,87,-,-,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-,4,48,2,25,-,-,2,23,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,3,-,-,2,3,-,-,3,9,-,-,3,9,4,20,-,-,1,2,1,2,-,-,1,2,-,-,-,-,-,-,1,14,1,7,1,7,-,-,-,-,-,-,-,-,1,7,-,-,-,-
