荳�騾｣逡ｪ蜿ｷ,貂ｬ螳壼慍轤ｹ縺ｮ菴乗園,邱ｯ蠎ｦ,邨悟ｺｦ,蠎ｧ讓咏ｳｻ,驕楢ｷｯ蜷�,迺ｰ蠅�渕貅也ｴｯ險�,貂ｬ螳夐幕蟋句ｹｴ譛域律,貂ｬ螳夂ｵゆｺ�ｹｴ譛域律,驕楢ｷｯ遞ｮ蛻･,霆顔ｷ壽焚,霆企％遶ｯ縺九ｉ縺ｮ霍晞屬(m),蝨ｰ荳翫°繧峨�鬮倥＆(m),譏ｼ髢鍋ｭ我ｾ｡鬨帝浹繝ｬ繝吶Ν(dB),螟憺俣遲我ｾ｡鬨帝浹繝ｬ繝吶Ν(dB)
124,江東区永代2-31,35.673653,139.792633,JGD2011,都道放射１６号線（永代通り）,c,2010-05-27,2010-05-28,4,6,5,1.5,68,66
125,江東区東陽3-27,35.670174,139.815643,JGD2011,都道放射１６号線（永代通り）,c,2010-06-03,2010-06-04,4,6,6,1.7,69,68
126,江東区豊洲4-11-18,35.653324,139.799072,JGD2011,都道補助３４号線（晴海通り）,c,2010-10-19,2010-10-20,4,7,6,1.2,67,63
127,江東区平野1-2-3,35.678619,139.798462,JGD2011,都道補助１１０号線（清澄通り）,c,2010-05-26,2010-05-27,4,4,4,1.5,69,67
128,江東区東雲2-5,35.640823,139.799210,JGD2011,国道３５７号（湾岸道路）,c,2010-06-01,2010-06-02,3,4,4,1.5,72,70
129,江東区森下4-9-22,35.685215,139.806168,JGD2011,都道環状３号線（三ツ目通り）,c,2010-05-25,2010-05-26,4,4,2.5,1.5,69,66
130,江東区枝川3-3,35.658913,139.808472,JGD2011,都道環状３号線（三ツ目通り）,c,2010-06-02,2010-06-03,4,6,3,1.8,72,70
131,江東区東陽4-11-28,35.672993,139.816360,JGD2011,都道放射３２号線（四ツ目通り）,c,2010-06-17,2010-06-18,4,4,8,1.2,67,64
132,江東区大島3-4-5,35.692406,139.826218,JGD2011,都道補助１１６号線（明治通り）,c,2010-05-18,2010-05-19,4,4,5,1.2,67,64
133,江東区大島6-7-8,35.691181,139.835190,JGD2011,都道環状４号線（丸八通り）,b,2010-06-24,2010-06-25,4,4,5.1,2,65,62
134,江東区東砂2-12-14,35.683292,139.843781,JGD2011,都道補助１４４号線（番所橋通り）,b,2010-05-12,2010-05-13,4,4,4.5,2.1,69,64
135,江東区大島7-30 (10F),35.693832,139.841415,JGD2011,高速７号小松川線,c,2010-06-10,2010-06-11,2,4,23,26,68,67
136,江東区枝川2-1 (10F),35.659821,139.805649,JGD2011,高速９号深川線,c,2010-05-31,2010-06-01,2,4,28,27,72,70
137,江東区南砂3丁目14,35.669125,139.831863,JGD2011,都道南砂町吾嬬町線,B,2010-11-29,2010-11-30,4,4,4.5,1.2,63,59
138,江東区白河2丁目12-3,35.682590,139.801010,JGD2011,都道浜町北砂町線,C,2010-11-29,2010-11-30,4,4,3.7,1.2,69,66
139,江東区南砂5丁目24-7,35.675953,139.835510,JGD2011,都道東京浦安線,C,2010-11-29,2010-11-30,4,4,5.5,1.2,67,60
140,江東区塩浜1丁目5-5,35.659657,139.801224,JGD2011,区道江１４４,C,2010-11-29,2010-11-30,5,6,6.5,1.2,64,60
141,江東区辰巳1丁目8-43,35.650688,139.808884,JGD2011,区道江２５９、３０４,A,2010-11-29,2010-11-30,5,4,12,1.2,62,57
142,江東区潮見1丁目14-11,35.656734,139.814011,JGD2011,区道江４１６、４００,C,2010-11-29,2010-11-30,5,4,4.5,1.2,62,60
143,江東区塩浜2丁目11-6,35.663826,139.809311,JGD2011,"区道江174,175,368,459",C,2010-11-29,2010-11-30,5,4,4,1.2,68,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,
