,,リモートワークに適した仕事がない        ,情報漏洩が心配      ,顧客等外部対応に支障がでる              ,従業者間でのコミュニケーションに支障がある                  ,導入するメリットがない                  ,文書類の電子化が進んでいない            ,従業員の業績評価ができない              ,資金が不足          ,企業風土に合わない  ,その他              ,無回答, n
窃盗,車上ねらい,小平,鷹の台駅前交番,132110,東京都,小平市,津田町３丁目,2018-10-18,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,小平,小川駅前交番,132110,東京都,小平市,小川西町２丁目,2018-11-09,18,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,小平,小川駅前交番,132110,東京都,小平市,小川西町５丁目,2018-04-14,07,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,小平,小川駅前交番,132110,東京都,小平市,小川東町１丁目,2018-11-26,02,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,小平,仲町交番,132110,東京都,小平市,仲町,2018-05-30,17,道路上,施錠せず,あり
窃盗,車上ねらい,小平,喜平橋駐在所,132110,東京都,小平市,上水南町１丁目,2018-04-22,14,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,小平,小川駐在所,132110,東京都,小平市,小川町１丁目,2018-12-01,05,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,小平,上宿交番,132110,東京都,小平市,小川町１丁目,2018-01-24,15,道路上,施錠せず,なし
窃盗,車上ねらい,小平,上宿交番,132110,東京都,小平市,小川町１丁目,2018-01-30,22,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,小平,上宿交番,132110,東京都,小平市,上水新町１丁目,2018-04-09,20,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,新島,署所在地,,,,,2018-01-07,07,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,新島,式根島駐在所,,,,,2018-03-17,11,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,三宅島,伊ケ谷駐在所,,,,,2018-08-20,14,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,八丈島,樫立駐在所,134015,東京都,八丈町,樫立,2018-01-01,14,その他,施錠せず,あり
窃盗,車上ねらい,小笠原,母島駐在所,,,,,2018-05-03,14,駐車（輪）場,施錠せず,なし
輪（50cc超）
窃盗,オートバイ盗,新宿,北新宿一丁目交番,131041,東京都,新宿区,北新宿２丁目,2019-02-28,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,大久保交番,131041,東京都,新宿区,大久保１丁目,2019-05-12,21,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,大久保交番,131041,東京都,新宿区,大久保２丁目,2018-08-01,20,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新宿,大久保交番,131041,東京都,新宿区,大久保２丁目,2019-09-13,15,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,新宿六丁目交番,131041,東京都,新宿区,新宿６丁目,2019-11-17,15,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町１丁目,2019-06-01,18,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2019-04-01,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2019-08-21,10,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2019-09-15,01,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,戸塚一丁目交番,131041,東京都,新宿区,西早稲田３丁目,2019-06-01,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,戸塚,高田馬場駅前交番,131041,東京都,新宿区,高田馬場１丁目,2019-01-31,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,戸塚,下落合駅前交番,131041,東京都,新宿区,上落合１丁目,2019-11-29,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中野,早稲田通交番,131148,東京都,中野区,中野１丁目,2019-03-04,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中野,中野駅前交番,131148,東京都,中野区,中野５丁目,2019-12-02,16,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中野,鍋屋横丁交番,131148,東京都,中野区,本町３丁目,2019-10-25,13,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,中野,中央五丁目交番,131148,東京都,中野区,本町４丁目,2017-03-01,12,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野方,上高田交番,131148,東京都,中野区,上高田１丁目,2019-11-17,21,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,東田町交番,131156,東京都,杉並区,阿佐谷南１丁目,2019-07-02,07,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,堀ノ内交番,131156,東京都,杉並区,堀ノ内３丁目,2019-08-18,17,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,高円寺南四丁目交番,131156,東京都,杉並区,高円寺南５丁目,2019-03-31,09,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺南３丁目,2019-07-09,14,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,杉並,成宗交番,131156,東京都,杉並区,阿佐谷南３丁目,2019-08-12,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,杉並,成田交番,131156,東京都,杉並区,松ノ木３丁目,2019-04-25,19,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,本富士,根津交番,131059,東京都,文京区,根津２丁目,2019-01-26,02,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2019-04-04,14,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,巣鴨,巣鴨新田交番,131164,東京都,豊島区,上池袋１丁目,2018-10-20,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,巣鴨,巣鴨新田交番,131164,東京都,豊島区,上池袋１丁目,2019-03-21,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2019-09-21,13,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,池袋,川越通交番,131164,東京都,豊島区,池袋２丁目,2019-05-24,17,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,目白,目白駅前交番,131164,東京都,豊島区,西池袋２丁目,2019-01-11,21,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,目白,椎名町駅前交番,131164,東京都,豊島区,千早２丁目,2019-05-21,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,目白,南長崎交番,131164,東京都,豊島区,南長崎２丁目,2019-10-13,04,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,目白,千川交番,131164,東京都,豊島区,千川２丁目,2019-04-28,09,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,王子,豊島五丁目駐在所,131172,東京都,北区,豊島５丁目,2019-03-27,02,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,王子,東十条交番,131172,東京都,北区,東十条５丁目,2019-08-29,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,王子,中十条交番,131172,東京都,北区,王子６丁目,2018-09-10,12,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,赤羽,岩淵交番,131172,東京都,北区,岩淵町,2019-07-11,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,赤羽,宮堀交番,131172,東京都,北区,神谷３丁目,2019-10-01,06,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤羽,浮間交番,131172,東京都,北区,浮間１丁目,2019-04-08,17,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤羽,浮間交番,131172,東京都,北区,浮間３丁目,2019-04-11,17,道路上,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,板橋,板橋本町交番,131199,東京都,板橋区,仲宿,2019-07-08,18,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,板橋,熊野町交番,131199,東京都,板橋区,南町,2019-09-25,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,板橋,茂呂交番,131199,東京都,板橋区,小茂根２丁目,2019-05-18,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,板橋,常盤台交番,131199,東京都,板橋区,常盤台１丁目,2019-01-27,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,板橋,上板橋駅前交番,131199,東京都,板橋区,上板橋１丁目,2019-12-16,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,清水町交番,131199,東京都,板橋区,泉町,2019-10-23,20,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,志村,坂上交番,131199,東京都,板橋区,坂下１丁目,2019-04-26,17,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,蓮根交番,131199,東京都,板橋区,相生町,2018-10-24,14,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,前野町交番,131199,東京都,板橋区,前野町３丁目,2019-07-26,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,中台交番,131199,東京都,板橋区,中台３丁目,2019-07-29,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,志村,西台交番,131199,東京都,板橋区,西台２丁目,2019-05-04,00,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北５丁目,2019-10-24,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,練馬,練馬駅前交番,131202,東京都,練馬区,中村北１丁目,2019-02-01,不明,その他の住宅（３階建て以下共同住宅等）,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,羽沢交番,131202,東京都,練馬区,氷川台３丁目,2019-11-30,10,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,江古田駅前交番,131202,東京都,練馬区,旭丘１丁目,2019-02-14,10,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,江古田駅前交番,131202,東京都,練馬区,旭丘１丁目,2019-04-16,10,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,練馬,春日町交番,131202,東京都,練馬区,春日町２丁目,2019-01-25,18,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,練馬,春日町交番,131202,東京都,練馬区,春日町２丁目,2019-04-07,19,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,早宮交番,131202,東京都,練馬区,氷川台２丁目,2019-03-20,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,練馬,氷川神社前交番,131202,東京都,練�
