区分,住宅,所在地,住宅種別戸数／世帯,住宅種別戸数／小世帯,住宅種別戸数／単身,住宅種別戸数／計,建築年月,備考
神津島村,須ヶ原,神津島村1348（1号棟）,,6,18,24,H5.1,
神津島村,須ヶ原,神津島村1204（2号棟）,6,,,6,S54.3,H4改修済
神津島村,須ヶ原,神津島村1204（3号棟）,,8,,8,S61.7,
神津島村,ぼうふ,神津島村1744-2（1号棟）,4,,,4,S48.6,H4改修済
神津島村,ぼうふ,神津島村1745（2号棟）,,,8,8,S48.6,
神津島村,鉄砲場,神津島村248,,6,,6,H16.3,
神津島村,鍛治山,神津島村字鍛治山307,,10,,10,H22.3,
神津島村,小計,,10,30,26,66,,
合計,,,115,249,27,391,,
合計,,,115,2-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,40,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,19,1,11,-,-,-,-,-,-,1,2,1,2,2,4,-,-,-,-,3,8,1,3,-,-,-,-,-,-,1,3,1,2,1,3,1,3,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15,2,10,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
6,13119,1311904607,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪�,7荳∫岼,譚ｿ讖句玄襍､蝪�7荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,1,3,1,2,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904608,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪�,8荳∫岼,譚ｿ讖句玄襍､蝪�8荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311904700,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪壽眠逕ｺ,,譚ｿ讖句玄襍､蝪壽眠逕ｺ,-,-,-,-,-,-,1,17,-,-,-,-,-,-,-,-,1,17,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,16,-,-,-,-,1,2,2,9,-,-,-,-,-,-,1,5,3,6,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,2,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,32,-,-,1,32,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,4,14,-,-,-,-,-,-,1,10,1,2,1,2,-,-,1,1,1,1,-,-,1,1,1,1,-,-,-,-,-,-,12,146,3,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,6,-,-,1,1,1,5,-,-,6,92,5,89,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,6,75,5,73,1,53,1,11,1,2,2,7,-,-,1,2,1,2,-,-,-,-,-,-,12,66,2,14,-,-,-,-,-,-,2,14,-,-,-,-,-,-,-,-,-,-,5,36,1,14,1,8,2,12,1,2,-,-,-,-,-,-,-,-,1,4,-,-,1,4,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904701,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪壽眠逕ｺ,1荳∫岼,譚ｿ讖句玄襍､蝪壽眠逕ｺ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,1,2,1,4,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,3,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,36,2,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,14,-,-,-,-,2,12,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904702,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪壽眠逕ｺ,2荳∫岼,譚ｿ讖句玄襍､蝪壽眠逕ｺ2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,36,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,24,1,21,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,2,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,14,1,8,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904703,譚ｿ讖句玄,譚ｿ讖句玄襍､蝪壽眠逕ｺ,3荳∫岼,譚ｿ讖句玄襍､蝪壽眠逕ｺ3荳∫岼,-,-,-,-,-,-,1,17,-,-,-,-,-,-,-,-,1,17,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,2,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,32,-,-,1,32,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,5,72,1,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,1,1,1,5,-,-,2,32,2,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,73,4,71,1,53,1,11,-,-,2,7,-,-,1,2,1,2,-,-,-,-,-,-,3,28,1,6,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,2,22,1,14,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311903900,譚ｿ讖句玄,譚ｿ讖句玄蟆剰ｱ�ｲ｢,,譚ｿ讖句玄蟆剰ｱ�ｲ｢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,48,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,3,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,46,4,22,1,5,-,-,-,-,-,-,-,-,1,5,2,15,-,-,-,-,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,11,205,6,179,-,-,-,-,-,-,-,-,6,179,-,-,-,-,-,-,-,-,2,6,1,3,1,3,3,20,-,-,3,20,-,-,10,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,47,-,-,4,47,-,-,-,-,1,3,-,-,1,3,5,32,-,-,-,-,-,-,1,7,-,-,1,1,-,-,-,-,3,24,1,7,-,-,1,7,5,101,-,-,-,-,-,-,1,3,3,92,2,46,1,46,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,16,327,4,263,1,3,-,-,1,3,2,5,1,4,1,1,1,2,1,2,1,13,-,-,-,-,-,-,1,13,6,39,2,31,-,-,-,-,-,-,2,3,1,2,-,-,-,-,1,3,9,49,2,27,2,27,-,-,-,-,-,-,2,5,5,17,3,7,2,10,-,-,-,-,15,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,135,3,51,-,-,6,84,-,-,-,-,-,-,-,-,-,-,1,27,1,27,-,-,3,10,1,3,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,56,2,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,39,4,39,-,-,-,-,2,5,-,-,2,34,-,-,-,-
6,13119,1311903901,譚ｿ讖句玄,譚ｿ讖句玄蟆剰ｱ�ｲ｢,1荳∫岼,譚ｿ讖句玄蟆剰ｱ�ｲ｢1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,21,1,5,1,5,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,-,-,2,19,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,1,11,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,3,28,2,27,2,27,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,4,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,15,-,-,-,-,1,15,-,-,-,-,-,-,-,-,-,-,1,27,1,27,-,-,2,7,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,3,-,-,-,-,1,3,-,-,1,-,-,-,-,-
6,13119,1311903902,譚ｿ讖句玄,譚ｿ讖句玄蟆剰ｱ�ｲ｢,2荳∫岼,譚ｿ讖句玄蟆剰ｱ�ｲ｢2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,35,4,32,-,-,-,-,-,-,-,-,4,32,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,4,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,44,-,-,3,44,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,86,2,73,-,-,-,-,-,-,1,4,1,4,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,3,4,10,-,-,-,-,-,-,-,-,-,-,2,5,2,5,1,2,1,3,-,-,-,-,8,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,88,1,19,-,-,5,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,36,2,36,-,-,-,-,1,2,-,-,1,34,-,-,-,-
6,13119,1311903903,譚ｿ讖句玄,譚ｿ讖句玄蟆剰ｱ�ｲ｢,3荳∫岼,譚ｿ讖句玄蟆剰ｱ�ｲ｢3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,25,1,13,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,151,2,147,-,-,-,-,-,-,-,-,2,147,-,-,-,-,-,-,-,-,1,3,1,3,-,-,1,1,-,-,1,1,-,-,3,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,2,23,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,1,16,1,7,-,-,1,7,3,97,-,-,-,-,-,-,-,-,2,91,1,45,1,46,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,2,143,1,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,-,-,-,-,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,3,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,32,2,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,48,1,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311903904,譚ｿ讖句玄,譚ｿ讖句玄蟆剰ｱ�ｲ｢,4荳∫岼,譚ｿ讖句玄蟆剰ｱ�ｲ｢4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,86,1,60,1,3,-,-,1,3,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,22,1,20,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311903400,譚ｿ讖句玄,譚ｿ讖句玄豕臥伴,,譚ｿ讖句玄豕臥伴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,10,1,4,-,-,1,4,1,2,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,1,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
