項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
6,13120,1312004605,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,5荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,1,2,-,-,-,-,1,2,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,4,-,-,-,-,-,-,3,16,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,1,6,-,-,4,71,1,54,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,1,13,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
6,13120,1312004606,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,6荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴6荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,16,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,14,-,-,-,-,-,-,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,4,2,3,2,3,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,50,-,-,2,11,1,9,1,2,1,2,-,-,1,2,-,-,-,-,2,10,2,10,-,-,-,-,-,-,3,27,1,12,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,9,3,45,-,-,-,-,-,-,-,-,-,-,2,4,1,41,1,41,-,-,-,-,-,-,10,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,26,-,-,-,-,3,26,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,6,5,20,-,-,-,-,3,8,1,8,-,-,-,-,1,4,-,-,-,-,1,4,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-
6,13120,1312004607,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,7荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴7荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,4,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,43,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,40,-,-,-,-,1,4,-,-,-,-,-,-,1,36,-,-,-,-,-,-,-,-,-,-,6,17,1,4,1,4,-,-,-,-,4,8,4,8,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,4,215,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,1,27,1,27,-,-,-,-,-,-,2,184,-,-,1,4,-,-,-,-,1,180,-,-,-,-,-,-,-,-,4,8,-,-,-,-,-,-,-,-,-,-,1,1,3,7,3,7,-,-,-,-,-,-,10,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,29,1,13,-,-,3,16,-,-,-,-,-,-,-,-,-,-,1,17,1,17,-,-,2,18,-,-,-,-,1,16,1,2,-,-,-,-,-,-,-,-,1,2,-,-,1,2,2,10,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004608,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,8荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴8荳∫岼,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,21,1,19,-,-,-,-,-,-,-,-,1,19,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,18,1,4,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,7,1,7,-,-,1,7,-,-,1,7,-,-,2,15,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,5,12,4,10,2,5,2,5,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,6,31,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,1,7,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,1,14,1,14,-,-,1,2,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004609,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴,9荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕牙ｭｦ蝨堤伴9荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,32,1,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13120,1312004500,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,1,24,-,-,1,24,3,7,1,2,-,-,-,-,1,2,2,5,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,123,5,89,-,-,-,-,-,-,-,-,4,81,-,-,1,8,4,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,34,11,35,6,11,1,2,-,-,-,-,2,5,3,4,2,16,-,-,1,13,1,3,1,1,1,1,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,1,3,1,3,-,-,-,-,-,-,-,-,5,17,3,13,-,-,-,-,-,-,-,-,3,13,-,-,-,-,-,-,-,-,2,4,-,-,2,4,-,-,-,-,-,-,-,-,11,34,3,7,2,4,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,2,8,1,2,1,6,5,16,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,4,13,-,-,-,-,-,-,3,7,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,1,2,1,3,20,426,1,289,1,3,1,3,-,-,-,-,-,-,-,-,1,1,3,5,1,4,1,4,-,-,-,-,-,-,13,124,4,53,1,1,1,1,1,1,1,15,2,4,-,-,-,-,3,49,14,55,8,35,2,19,4,12,2,4,-,-,2,11,4,9,4,9,-,-,-,-,-,-,24,114,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,10,44,-,-,1,5,9,39,-,-,-,-,-,-,-,-,-,-,2,5,-,-,2,5,2,13,-,-,-,-,1,11,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,49,-,-,1,1,1,2,2,6,3,12,1,26,1,2,-,-,-,-,3,4,2,3,-,-,-,-,-,-,-,-,2,3,-,-,1,1
6,13120,1312004501,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,1荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴1荳∫岼,1,24,-,-,1,24,2,5,-,-,-,-,-,-,-,-,2,5,1,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,6,14,2,3,-,-,-,-,-,-,1,2,1,1,1,3,-,-,-,-,1,3,1,1,1,1,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,1,3,1,3,-,-,-,-,-,-,-,-,2,6,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,4,9,2,4,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,5,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,4,1,4,-,-,-,-,-,-,3,32,2,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004502,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,2荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,40,3,39,-,-,-,-,-,-,-,-,2,31,-,-,1,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,7,2,6,-,-,-,-,-,-,-,-,-,-,1,2,1,4,1,4,-,-,-,-,-,-,8,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,22,-,-,1,5,4,17,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,3,4,2,3,-,-,-,-,-,-,-,-,2,3,-,-,1,1
6,13120,1312004503,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,3荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,16,2,3,-,-,-,-,-,-,-,-,2,3,1,13,-,-,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,-,-,-,-,-,-,3,18,-,-,1,1,-,-,-,-,1,15,1,2,-,-,-,-,-,-,5,21,3,18,1,15,2,3,-,-,-,-,-,-,2,3,2,3,-,-,-,-,-,-,7,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15,-,-,-,-,3,15,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,2,13,-,-,-,-,1,11,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312004504,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴,4荳∫岼,邱ｴ鬥ｬ蛹ｺ螟ｧ豕臥伴4荳∫岼,-,-,-,-,-,-,1,2,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,22,1,22,-,-,-,-,-,-,-,-,1,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,49,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,40,1,2,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-
