区分,会計款項目,金額（円）,構成比(%)
6,13119,1311905104,譚ｿ讖句玄,譚ｿ讖句玄謌仙｢�,4荳∫岼,譚ｿ讖句玄謌仙｢�4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,2,5,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,1,10,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,33,1,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,2,1,2,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311905105,譚ｿ讖句玄,譚ｿ讖句玄謌仙｢�,5荳∫岼,譚ｿ讖句玄謌仙｢�5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,157,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3,156,-,-,-,-,-,-,2,153,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,2,3,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,3,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-
5,13119,1311904000,譚ｿ讖句玄,譚ｿ讖句玄隘ｿ蜿ｰ,,譚ｿ讖句玄隘ｿ蜿ｰ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,1,11,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,22,3,22,-,-,-,-,-,-,-,-,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,23,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,2,5,1,4,-,-,-,-,1,4,-,-,-,-,1,1,-,-,-,-,1,1,-,-,3,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,1,17,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,2,4,-,-,-,-,-,-,-,-,2,4,-,-,-,-
6,13119,1311904001,譚ｿ讖句玄,譚ｿ讖句玄隘ｿ蜿ｰ,1荳∫岼,譚ｿ讖句玄隘ｿ蜿ｰ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904002,譚ｿ讖句玄,譚ｿ讖句玄隘ｿ蜿ｰ,2荳∫岼,譚ｿ讖句玄隘ｿ蜿ｰ2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,1,3,-,-,-,-
6,13119,1311904003,譚ｿ讖句玄,譚ｿ讖句玄隘ｿ蜿ｰ,3荳∫岼,譚ｿ讖句玄隘ｿ蜿ｰ3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904004,譚ｿ讖句玄,譚ｿ讖句玄隘ｿ蜿ｰ,4荳∫岼,譚ｿ讖句玄隘ｿ蜿ｰ4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,1,11,-,-,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,2,19,-,-,-,-,-,-,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-,-
5,13119,1311903200,譚ｿ讖句玄,譚ｿ讖句玄闢ｮ豐ｼ逕ｺ,,譚ｿ讖句玄闢ｮ豐ｼ逕ｺ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,31,3,30,2,9,-,-,-,-,-,-,1,21,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,18,1,12,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,1,6,-,-,4,136,2,10,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,126,-,-,2,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,47,1,2,1,3,1,3,-,-,-,-,-,-,-,-,-,-,1,2,3,5,2,3,-,-,1,2,-,-,5,35,1,23,-,-,-,-,-,-,3,10,-,-,1,2,-,-,-,-,4,17,-,-,-,-,-,-,-,-,-,-,1,3,3,14,3,14,-,-,-,-,-,-,16,66,2,3,-,-,-,-,1,1,1,2,1,3,1,3,-,-,-,-,-,-,1,7,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,28,1,3,1,1,2,24,-,-,2,9,-,-,2,9,-,-,1,1,-,-,1,1,5,15,-,-,1,2,1,8,-,-,-,-,-,-,1,1,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311904300,譚ｿ讖句玄,譚ｿ讖句玄闢ｮ譬ｹ,,譚ｿ讖句玄闢ｮ譬ｹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,4,19,-,-,-,-,-,-,-,-,-,-,-,-,2,6,1,2,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,1,9,-,-,1,4,-,-,-,-,-,-,1,4,-,-,3,16,2,14,-,-,-,-,-,-,-,-,2,14,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,1,1,1,4,-,-,-,-,-,-,3,8,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,1,259,1,259,-,-,8,25,1,2,-,-,1,2,1,2,4,9,4,9,-,-,-,-,-,-,-,-,2,12,1,1,-,-,1,11,-,-,39,246,4,46,4,20,4,20,-,-,2,7,2,7,-,-,3,10,5,12,6,37,3,9,1,8,1,15,1,5,15,114,5,77,-,-,-,-,1,2,5,26,3,7,1,2,-,-,-,-,9,36,2,13,-,-,-,-,1,11,1,2,3,7,4,16,3,13,-,-,-,-,1,3,34,158,1,1,-,-,-,-,1,1,-,-,2,6,1,1,1,5,-,-,-,-,12,65,2,24,-,-,9,40,1,1,-,-,-,-,-,-,-,-,2,11,1,3,1,8,6,55,3,11,1,1,2,43,-,-,1,1,-,-,1,1,-,-,2,5,-,-,2,5,8,14,-,-,5,8,3,6,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,2,-,-,-,-,-,-,-,-,1,2,-,-,1,3
6,13119,1311904301,譚ｿ讖句玄,譚ｿ讖句玄闢ｮ譬ｹ,1荳∫岼,譚ｿ讖句玄闢ｮ譬ｹ1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,1,2,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,7,39,1,1,-,-,-,-,1,1,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,1,8,2,25,-,-,1,1,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,5,1,2,-,-,-,-,-,-,-,-,1,2,-,-,1,3
6,13119,1311904302,譚ｿ讖句玄,譚ｿ讖句玄闢ｮ譬ｹ,2荳∫岼,譚ｿ讖句玄闢ｮ譬ｹ2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,1,9,-,-,-,-,-,-,-,-,1,9,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,5,8,-,-,-,-,-,-,1,2,3,5,3,5,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,24,141,3,37,2,16,2,16,-,-,2,7,2,7,-,-,2,5,3,6,2,5,2,5,-,-,-,-,-,-,10,65,3,37,-,-,-,-,1,2,3,19,3,7,-,-,-,-,-,-,4,16,-,-,-,-,-,-,-,-,-,-,3,7,1,9,1,9,-,-,-,-,-,-,19,62,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,-,-,-,-,9,40,1,12,-,-,7,27,1,1,-,-,-,-,-,-,-,-,1,3,1,3,-,-,2,4,2,4,-,-,-,-,-,-,1,1,-,-,1,1,-,-,1,1,-,-,1,1,4,8,-,-,2,4,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13119,1311904303,譚ｿ讖句玄,譚ｿ讖句玄闢ｮ譬ｹ,3荳∫岼,譚ｿ讖句玄闢ｮ譬ｹ3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,5,-,-,-,-,1,1,1,4,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,259,1,259,-,-,2,15,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,1,11,-,-,-,-,1,11,-,-,12,97,1,9,1,1,1,1,-,-,-,-,-,-,-,-,1,5,1,3,4,32,1,4,1,8,1,15,1,5,4,47,2,40,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,4,18,2,13,-,-,-,-,1,11,1,2,-,-,2,5,1,2,-,-,-,-,1,3,8,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,25,1,12,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,26,1,7,-,-,1,19,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,4,2,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13119,1311901000,譚ｿ讖句玄,譚ｿ讖句玄豌ｷ蟾晉伴,,譚ｿ讖句玄豌ｷ蟾晉伴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,12,2,8,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,1,2,-,-,1,2,1,2,-,-,-,-,1,2,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,1,7,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,48,-,-,2,4,2,4,-,-,1,4,1,4,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,2,38,2,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,31,1,27,1,27,-,-,-,-,-,-,-,-,1,4,1,4,-,-,-,-,-,-,6,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,1,1,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,1,1,1,4,1,4,-,-,-,-,-,-,1,4,-,-,-,-,-,-
