"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
"2","5","1","1","0","穀類",7208,1.9,4832,1.5,7731,1.9,8391,2.3,9262,2.2
"2","6","1","1","1","米類",1544,0.4,1102,0.3,1795,0.4,1584,0.4,1901,0.4
"2","6","1","1","2","パン",3264,0.9,1984,0.6,3524,0.9,4072,1.1,3963,0.9
"2","6","1","1","3","麺類",1721,0.5,1110,0.3,1927,0.5,1833,0.5,2553,0.6
"2","6","1","1","4","他の穀類",679,0.2,636,0.2,485,0.1,902,0.2,844,0.2
"2","5","1","2","0","魚介類",5335,1.4,4676,1.4,5919,1.5,5030,1.4,6188,1.4
"2","6","1","2","1","生鮮魚介",2866,0.8,2536,0.8,3089,0.8,2942,0.8,2875,0.7
"2","6","1","2","2","塩干魚介",1006,0.3,843,0.3,1205,0.3,817,0.2,1352,0.3
"2","6","1","2","3","魚肉練製品",622,0.2,529,0.2,641,0.2,636,0.2,804,0.2
"2","6","1","2","4","他の魚介加工品",842,0.2,769,0.2,984,0.2,635,0.2,1157,0.3
"2","5","1","3","0","肉類",9370,2.5,5945,1.8,9903,2.5,10498,2.9,14758,3.4
"2","6","1","3","1","生鮮肉",7805,2.1,4969,1.5,8183,2.0,8765,2.4,12415,2.9
"2","6","1","3","2","加工肉",1565,0.4,975,0.3,1720,0.4,1733,0.5,2343,0.5
"2","5","1","4","0","乳卵類",4452,1.2,3135,0.9,4633,1.2,5318,1.4,5367,1.2
"2","6","1","4","1","牛乳",1307,0.3,722,0.2,1251,0.3,1899,0.5,1593,0.4
"2","6","1","4","2","乳製品",2240,0.6,1732,0.5,2478,0.6,2422,0.7,2442,0.6
"2","6","1","4","3","卵",905,0.2,681,0.2,905,0.2,998,0.3,1331,0.3
"2","5","1","5","0","野菜・海藻",9180,2.4,7272,2.2,10146,2.5,9584,2.6,10487,2.4
"2","6","1","5","1","生鮮野菜",6470,1.7,5091,1.5,7166,1.8,6784,1.8,7365,1.7
"2","6","1","5","2","乾物・海藻",591,0.2,504,0.2,589,0.1,649,0.2,696,0.2
"2","6","1","5","3","大豆加工品",1065,0.3,849,0.3,1100,0.3,1206,0.3,1203,0.3
"2","6","1","5","4","他の野菜・海藻加工品",1053,0.3,829,0.3,1291,0.3,944,0.3,1223,0.3
"2","5","1","6","0","果物",3158,0.8,2629,0.8,3994,1.0,2761,0.8,2992,0.7
"2","6","1","6","1","生鮮果物",2779,0.7,2209,0.7,3592,0.9,2448,0.7,2627,0.6
"2","6","1","6","2","果物加工品",379,0.1,420,0.1,402,0.1,313,0.1,366,0.1
"2","5","1","7","0","油脂・調味料",4226,1.1,3175,1.0,4309,1.1,4893,1.3,5237,1.2
"2","6","1","7","1","油脂",344,0.1,148,0.0,363,0.1,402,0.1,711,0.2
"2","6","1","7","2","調味料",3882,1.0,3027,0.9,3946,1.0,4492,1.2,4526,1.1
"2","5","1","8","0","菓子類",8264,2.2,6237,1.9,8567,2.1,8891,2.4,11615,2.7
"2","5","1","9","0","調理食品",14066,3.8,11536,3.5,16375,4.1,12954,3.5,16923,3.9
"2","6","1","9","1","主食的調理食品",6284,1.7,5466,1.7,7422,1.8,5316,1.4,7583,1.8
"2","6","1","9","2","他の調理食品",7782,2.1,6070,1.8,8953,2.2,7638,2.1,9340,2.2
"2","5","1","10","0","飲料",5913,1.6,5369,1.6,6304,1.6,5685,1.5,6872,1.6
"2","6","1","10","1","茶類",1246,0.3,1172,0.4,1359,0.3,1140,0.3,1380,0.3
"2","6","1","10","2","コーヒー・ココア",1609,0.4,1488,0.4,1500,0.4,1838,0.5,1706,0.4
"2","6","1","10","3","他の飲料",3059,0.8,2710,0.8,3445,0.9,2707,0.7,3787,0.9
"2","5","1","11","0","酒類",3366,0.9,4218,1.3,3430,0.9,2332,0.6,3495,0.8
"2","5","1","12","0","外食",23199,6.2,25149,7.6,18767,4.7,25114,6.8,27236,6.3
"2","6","1","12","1","一般外食",21605,5.8,25149,7.6,18300,4.5,21779,5.9,21814,5.1
"2","6","1","12","2","学校給食",1593,0.4,-,-,467,0.1,3335,0.9,5422,1.3
"2","4","2","0","0","住居",36131,9.6,32622,9.9,54848,13.6,20040,5.4,27544,6.4
"2","5","2","1","0","家賃地代",20761,5.5,28036,8.5,21885,5.4,16079,4.4,7972,1.9
"2","5","2","2","0","設備修繕・維持",15371,4.1,4586,1.4,32963,8.2,3961,1.1,19572,4.5
"2","6","2","2","1","設備材料",2679,0.7,1457,0.4,1055,0.3,119,0.0,19439,4.5
"2","6","2","2","2","工事その他のサービス",12692,3.4,3129,0.9,31908,7.9,3842,1.0,132,0.0
"2","4","3","0","0","光熱・水道",30682,8.2,26890,8.1,32559,8.1,31790,8.6,32550,7.6
"2","5","3","1","0","電気代",13616,3.6,12089,3.7,14148,3.5,15155,4.1,12017,2.8
"2","5","3","2","0","ガス代",10400,2.8,9060,2.7,11346,2.8,10769,2.9,10139,2.4
"2","5","3","3","0","他の光熱",629,0.2,986,0.3,638,0.2,156,0.0,863,0.2
"2","5","3","4","0","上下水道料",6037,1.6,4755,1.4,6428,1.6,5710,1.6,9531,2.2
"2","4","4","0","0","家具・家事用品",11419,3.0,7991,2.4,10850,2.7,13763,3.7,17194,4.0
"2","5","4","1","0","家庭用耐久財",2944,0.8,587,0.2,2413,0.6,4350,1.2,7993,1.9
"2","6","4","1","1","家事用耐久財",2192,0.6,114,0.0,1429,0.4,3570,1.0,7270,1.7
"2","6","4","1","2","冷暖房用器具",639,0.2,336,0.1,766,0.2,780,0.2,723,0.2
"2","6","4","1","3","一般家具",114,0.0,137,0.0,218,0.1,-,-,-,-
"2","5","4","2","0","室内装備・装飾品",517,0.1,536,0.2,449,0.1,491,0.1,767,0.2
"2","5","4","3","0","寝具類",1000,0.3,1105,0.3,986,0.2,793,0.2,1325,0.3
"2","5","4","4","0","家事雑貨",3275,0.9,2639,0.8,3161,0.8,4273,1.2,2763,0.6
"2","5","4","5","0","家事用消耗品",3355,0.9,2858,0.9,3587,0.9,3305,0.9,4208,1.0
"2","5","4","6","0","家事サービス",328,0.1,266,0.1,253,0.1,551,0.1,138,0.0
"2","4","5","0","0","被服及び履物",12987,3.5,11792,3.6,12417,3.1,12640,3.4,19637,4.6
"2","5","5","1","0","和服",100,0.0,330,0.1,9,0.0,-,-,-,-
"2","5","5","2","0","洋服",6634,1.8,5411,1.6,6429,1.6,6142,1.7,12509,2.9
"2","6","5","2","1","男子用洋服",2651,0.7,2846,0.9,3063,0.8,1210,0.3,4746,1.1
"2","6","5","2","2","婦人用洋服",3379,0.9,2565,0.8,3090,0.8,3607,1.0,6224,1.4
"2","6","5","2","3","子供用洋服",605,0.2,-,-,276,0.1,1325,0.4,1539,0.4
"2","5","5","3","0","シャツ・セーター類",2178,0.6,2043,0.6,1745,0.4,2670,0.7,2693,0.6
"2","6","5","3","1","男子用シャツ・セーター類",930,0.2,1086,0.3,719,0.2,1024,0.3,916,0.2
"2","6","5","3","2","婦人用シャツ・セーター類",1084,0.3,956,0.3,939,0.2,1468,0.4,879,0.2
"2","6","5","3","3","子供用シャツ・セーター類",164,0.0,-,-,87,0.0,177,0.0,898,0.2
"2","5","5","4","0","下着類",875,0.2,984,0.3,906,0.2,648,0.2,1083,0.3
"2","6","5","4","1","男子用下着類",385,0.1,598,0.2,445,0.1,121,0.0,280,0.1
"2","6","5","4","2","婦人用下着類",390,0.1,385,0.1,404,0.1,335,0.1,514,0.1
"2","6","5","4","3","子供用下着類",100,0.0,-,-,58,0.0,192,0.1,288,0.1
"2","5","5","5","0","生地・糸類",77,0.0,8,0.0,98,0.0,126,0.0,76,0.0
"2","5","5","6","0","他の被服",1333,0.4,1956,0.6,894,0.2,1294,0.4,1074,0.2
"2","5","5","7","0","履物類",1475,0.4,570,0.2,2227,0.6,1414,0.4,1792,0.4
"2","5","5","8","0","被服関連サービス",316,0.1,492,0.1,110,0.0,346,0.1,412,0.1
"2","4","6","0","0","保健医療",14406,3.8,14056,4.2,14138,3.5,14505,3.9,16132,3.7
"2","5","6","1","0","医薬品",2538,0.7,2437,0.7,3274,0.8,2000,0.5,1812,0.4
"2","5","6","2","0","健康保持用摂取品",943,0.3,895,0.3,1733,0.4,345,0.1,47,0.0
"2","5","6","3","0","保健医療用品・器具",3575,1.0,2850,0.9,3927,1.0,4170,1.1,2856,0.7
"2","5","6","4","0","保健医療サービス",7350,2.0,7875,2.4,5204,1.3,7990,2.2,11418,2.7
"2","4","7","0","0","交通・通信",37494,10.0,30532,9.2,49524,12.3,28088,7.6,43703,10.2
"2","5","7","1","0","交通",10219,2.7,11313,3.4,8240,2.0,9523,2.6,15789,3.7
"2","5","7","2","0","自動車等関係費",13393,3.6,7650,2.3,24890,6.2,4704,1.3,15677,3.6
"2","6","7","2","1","自動車等購入",4116,1.1,-,-,12270,3.0,-,-,-,-
"2","6","7","2","2","自転車購入",948,0.3,214,0.1,1115,0.3,948,0.3,2616,0.6
"2","6","7","2","3","自動車等維持",8329,2.2,7436,2.2,11506,2.9,3756,1.0,13061,3.0
"2","5","7","3","0","通信",13882,3.7,11570,3.5,16393,4.1,13861,3.8,12238,2.8
"2","4","8","0","0","教育",22961,6.1,1348,0.4,17195,4.3,46149,12.5,42837,10.0
"2","5","8","1","0","授業料等",13877,3.7,-,-,14790,3.7,26129,7.1,18052,4.2
"2","5","8","2","0","教科書・学習参考教材",240,0.1,-,-,137,0.0,587,0.2,346,0.1
"2","5","8","3","0","補習教育",8844,2.4,1348,0.4,2268,0.6,19434,5.3,24439,5.7
"2","4","9","0","0","教養娯楽",49387,13.2,60006,18.1,43972,10.9,49974,13.6,34127,7.9
"2","5","9","1","0","教養娯楽用耐久財",5631,1.5,2583,0.8,7942,2.0,7948,2.2,244,0.1
"2","5","9","2","0","教養娯楽用品",8243,2.2,6955,2.1,6947,1.7,11603,3.2,7087,1.6
"2","5","9","3","0","書籍・他の印刷物",3098,0.8,2877,0.9,3129,0.8,3322,0.9,3027,0.7
"2","5","9","4","0","教養娯楽サービス",32414,8.6,47590,14.4,25954,6.4,27101,7.4,23769,5.5
"2","6","9","4","1","宿泊料",4921,1.3,5788,1.7,4873,1.2,4620,1.3,3292,0.8
"2","6","9","4","2","パック旅行費",10671,2.8,31037,9.4,1651,0.4,3645,1.0,-,-
"2","6","9","4","3","月謝類",4745,1.3,1267,0.4,3983,1.0,7604,2.1,9860,2.3
"2","6","9","4","4","他の教養娯楽サービス",12077,3.2,9498,2.9,15447,3.8,11231,3.1,10617,2.5
"2","4","10","0","0","その他の消費支出",61571,16.4,61605,18.6,67124,16.7,49690,13.5,76102,17.7
"2","5","10","1","0","諸雑費",27302,7.3,24953,7.5,30654,7.6,23758,6.5,32923,7.7
"2","6","10","1","1","理美容サービス",3521,0.9,3759,1.1,3453,0.9,4030,1.1,1568,0.4
"2","6","10","1","2","理美容用品",5360,1.4,4545,1.4,5957,1.5,5920,1.6,4157,1.0
"2","6","10","1","3","身の回り用品",2663,0.7,2871,0.9,2204,0.5,3016,0.8,2623,0.6
"2","6","10","1","4","たばこ",1010,0.3,1134,0.3,1083,0.3,673,0.2,1338,0.3
"2","6","10","1","5","他の諸雑費",14748,3.9,12644,3.8,17956,4.5,10120,2.7,23238,5.4
"2","5","10","2","0","こづかい",8474,2.3,3487,1.1,8922,2.2,8437,2.3,22282,5.2
"2","5","10","3","0","交際費",21326,5.7,21264,6.4,26726,6.6,16464,4.5,16563,3.8
"2","6","10","3","1","食料",4010,1.1,6107,1.8,3470,0.9,3218,0.9,1744,0.4
"2","6","10","3","2","家具・家事用品",248,0.1,232,0.1,475,0.1,19,0.0,153,0.0
"2","6","10","3","3","被服及び履物",256,0.1,160,0.0,327,0.1,361,0.1,-,-
"2","6","10","3","4","教養娯楽",2072,0.6,686,0.2,4501,1.1,1165,0.3,417,0.1
"2","6","10","3","5","他の物品サービス",164,0.0,205,0.1,159,0.0,173,0.0,29,0.0
"2","6","10","3","6","贈与金",8785,2.3,8197,2.5,9141,2.3,8088,2.2,11336,2.6
"2","6","10","3","7","他の交際費",5792,1.5,5676,1.7,8652,2.1,3440,0.9,2885,0.7
"2","5","10","4","0","仕送り金",4470,1.2,11902,3.6,821,0.2,1030,0.3,4334,1.0
"2","3","0","0","0","土地家屋購入",-,-,-,-,-,-,-,-,-,-
"2","3","0","0","0","（再掲）教育関係費",26051,7.0,1687,0.5,19070,4.7,51849,14.1,51115,11.9
"2","3","0","0","0","（再掲）教養娯楽関係費",56647,15.1,67571,20.4,52619,13.1,56718,15.4,37089,8.6
"2","3","0","0","0","（再掲）移転支出（贈与金＋仕送り金）",13254,3.5,20098,6.1,9962,2.5,9118,2.5,15670,3.6
"2","3","0","0","0","（再掲）経常消費支出",258572,69.0,233716,70.6,274267,68.1,257782,70.0,282049,65.6
"2","3","0","0","0","（再掲）情報通信関係費",17238,4.6,16187,4.9,19497,4.8,16262,4.4,15351,3.6
"2","3","0","0","0","（再掲）消費支出（除く住居等）1）",321275,85.7,278295,84.1,325625,80.9,338931,92.1,387045,90.0
"2","2","0","0","0","その他の実支出",109969,-,89081,-,117209,-,120322,-,118923,-
"2","3","0","0","0","直接税",46783,-,37684,-,47719,-,49952,-,62282,-
"2","4","0","0","0","勤労所得税",18312,-,13209,-,19019,-,19799,-,27197,-
"2","4","0","0","0","個人住民税",26046,-,22598,-,25814,-,27397,-,33542,-
"2","4","0","0","0","他の税",2425,-,1878,-,2886,-,2756,-,1543,-
"2","3","0","0","0","社会保険料",63157,-,51298,-,69490,-,70370,-,56641,-
"2","4","0","0","0","公的年金保険料",37221,-,28367,-,41936,-,42545,-,32579,-
"2","4","0","0","0","健康保険料",20458,-,17286,-,22033,-,22407,-,19080,-
"2","4","0","0","0","介護保険料",3600,-,4072,-,3532,-,3272,-,3338,-
"2","4","0","0","0","他の社会保険料",1877,-,1573,-,1989,-,2145,-,1645,-
"2","3","0","0","0","その他",29,-,99,-,-,-,-,-,-,-
"2","1","0","0","0","実支出以外の支払(繰越金を除く)",724896,-,623867,-,738391,-,786793,-,809615,-
"2","2","0","0","0","預貯金",459033,-,395149,-,447053,-,512014,-,544664,-
"2","2","0","0","0","保険料",40741,-,17942,-,74614,-,27118,-,31132,-
"2","3","0","0","0","個人・企業年金保険料",25134,-,4359,-,61343,-,7815,-,11754,-
"2","3","0","0","0","他の保険料",15607,-,13583,-,13271,-,19303,-,19378,-
"2","2","0","0","0","有価証券購入",5202,-,4801,-,3487,-,8412,-,3229,-
"2","2","0","0","0","土地家屋借金返済",73494,-,102519,-,61831,-,62253,-,57633,-
"2","2","0","0","0","他の借金返済",4354,-,1788,-,10221,-,1457,-,-,-
"2","2","0","0","0","クレジット購入借入金返済",141342,-,100567,-,140727,-,174618,-,172958,-
"2","2","0","0","0","実支出以外の支払のその他",730,-,1101,-,458,-,921,-,-,-
"2","1","0","0","0","繰越金",248425,-,374018,-,240867,-,153435,-,162591,-
"3","0","0","0","0","可処分所得",478161,-,375484,-,486222,-,534901,-,601708,-
"3","0","0","0","0","黒字",103384,-,44468,-,83517,-,166811,-,171449,-
"3","1","0","0","0","金融資産純増",89156,-,10325,-,108633,-,134964,-,131101,-
"3","3","0","0","0","貯蓄純増",83954,-,5524,-,105146,-,126552,-,127872,-
"3","4","0","0","0","預貯金純増",59017,-,31349,-,36041,-,103445,-,96741,-
"3","4","0","0","0","保険純増",24936,-,-25825,-,69105,-,23107,-,31132,-
"3","3","0","0","0","有価証券純購入",5202,-,4801,-,3487,-,8412,-,3229,-
"3","1","0","0","0","土地家屋借金純減",73494,-,102519,-,61831,-,62253,-,57633,-
"3","1","0","0","0","他の借金純減",4354,-,1788,-,10221,-,1457,-,-,-
"3","1","0","0","0","クレジット購入借入金純減",-9513,-,-43599,-,14429,-,1880,-,-21539,-
"3","1","0","0","0","土地家屋純増",-,-,-,-,-,-,-,-,-,-
"3","1","0","0","0","その他の純増",311,-,795,-,-273,-,805,-,-540,-
"3","1","0","0","0","繰越純増",-54418,-,-27360,-,-111324,-,-34547,-,4793,-
"","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 5年 1月","","","","","","","","","","","","","","",""
"第６表　世帯人員別１世帯当たり１か月間の収入と用途別生計支出　―　勤労者世帯　―　","","","","","","","","","","","","","","",""
"注）1)は「住居」のほか、「自動車等購入」、「贈与金」、「仕送り金」を除いている。","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：受取　2：支払　3：可処分所得等）","","","","","","","","","","","","","","",""
