区分１,区分２,度数計,割合計,契約時から未加入_度数,契約時から未加入_割合,当初は加入していたが、解除した_度数,当初は加入していたが、解除した_割合,わからない_度数,わからない_割合
全体,全体,523,100,346,66.2,57,10.9,120,22.9
児童・生徒別,小学生,129,100,75,58.1,17,13.2,37,28.7
児童・生徒別,中学生,167,100,118,70.7,10,6,39,23.4
児童・生徒別,高校生,227,100,153,67.4,30,13.2,44,19.4
子供の性別,男子,265,100,176,66.4,35,13.2,54,20.4
子供の性別,女子,258,100,170,65.9,22,8.5,66,25.6
児童・生徒×子供の性別,小学生男子,57,100,30,52.6,12,21.1,15,26.3
児童・生徒×子供の性別,小学生女子,72,100,45,62.5,5,6.9,22,30.6
児童・生徒×子供の性別,中学生男子,80,100,58,72.5,7,8.8,15,18.8
児童・生徒×子供の性別,中学生女子,87,100,60,69,3,3.4,24,27.6
児童・生徒×子供の性別,高校生男子,128,100,88,68.8,16,12.5,24,18.8
児童・生徒×子供の性別,高校生女子,99,100,65,65.7,14,14.1,20,20.2
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,294,100,184,62.6,38,12.9,72,24.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,40,100,24,60,7,17.5,9,22.5
携帯電話の購入所別,家電量販店,105,100,80,76.2,9,8.6,16,15.2
携帯電話の購入所別,インターネット販売,55,100,41,74.5,3,5.5,11,20
携帯電話の購入所別,その他,23,100,15,65.2,0,0,8,34.8
携帯電話の購入所別,わからない,6,100,2,33.3,0,0,4,66.7
フィルタリングサービスの加入状況別,加入している,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,346,66.2,57,10.9,120,22.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,29,100,17,58.6,3,10.3,9,31
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,75,100,54,72,8,10.7,13,17.3
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,278,100,194,69.8,28,10.1,56,20.1
利用制限サービスの加入状況別,わからない,20,100,15,75,1,5,4,20
利用状況の管理状態別,利用状況の把握及び監督もできている,172,100,126,73.3,14,8.1,32,18.6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,241,100,153,63.5,28,11.6,60,24.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,80,100,49,61.3,10,12.5,21,26.3
利用状況の管理状態別,子供の利用状況に関心がない,29,100,17,58.6,5,17.2,7,24.1
利用状況の管理状態別,その他,1,100,1,100,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,143,100,100,69.9,13,9.1,30,21
説明・学習経験別,インターネットで調べた,179,100,130,72.6,18,10.1,31,17.3
説明・学習経験別,学校から配布される資料等を読んだ,164,100,118,72,18,11,28,17.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,105,100,77,73.3,9,8.6,19,18.1
説明・学習経験別,知識のある知人から説明を受けた,27,100,18,66.7,3,11.1,6,22.2
説明・学習経験別,販売店等から詳しく説明をうけた,25,100,15,60,5,20,5,20
説明・学習経験別,公共施設などで開催された講座に参加した,9,100,7,77.8,2,22.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,145,100,94,64.8,9,6.2,42,29
説明・学習経験別,その他,2,100,0,0,1,50,1,50

198区分１,区分２,度数計,割合計,利用状況の把握及び監督もできている_度数,利用状況の把握及び監督もできている_割合,利用状況は把握しているが、監督まではできていない_度数,利用状況は把握しているが、監督まではできていない_割合,利用状況を把握しておらず、監督もできていない_度数,利用状況を把握しておらず、監督もできていない_割合,子供の利用状況に関心がない_度数,子供の利用状況に関心がない_割合,その他_度数,その他_割合
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,44,38.9,52,46,11,9.7,6,5.3,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,14,37.8,10,27,7,18.9,6,16.2,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,100,29.4,114,33.5,78,22.9,48,14.1,0,0
説明・学習経験別,その他,9,100,5,55.6,2,22.2,1,11.1,1,11.1,0,0
03,50139,19875,159532,154649,3959782,6170,35182,0,0,151,26155,150,24689,1742,30602
2016,…,9648868,72222,3170188,45145,2131601,12776,47808,21640,169915,155698,4010604,6217,34780,2,551,149,26619,173,25226,1697,31576
2017,…,9604968,72531,3075071,44930,2106145,12182,44907,23080,181436,156643,4081972,5894,32135,2,512,125,22350,181,27124,1600,33316
2018,…,9400652,69886,2959575,45350,2112935,9628,37541,24992,177543,162720,3988638,4654,26888,0,0,166,28620,213,34384,1503,34528
2019,…,9444225,72132,2912406,45540,2107793,7300,31040,26399,175003,169100,4099812,3969,26554,0,0,152,25809,208,33334,1428,32474
2020,…,9428377,70469,2929313,45629,2120966,7235,32720,27159,170309,156448,4056868,326,20753,1,3,192,33887,275,33457,1343,30101
2021,…,9292784,71158,2852399,45878,2127507,6776,30390,26898,165874,161154,3990610,198,23567,1,17,172,32662,388,40648,1338,29110
2022,…,9200152,70515,2832656,46370,2133141,6221,26428,26375,151876,165649,3943445,192,20816,0,0,163,31762,381,35620,1165,24408
2023,…,9496690,70944,2779446,45939,2106324,5443,24735,26702,164637,166115,4305841,195,21369,1,555,167,30912,386,37962,1108,24909
｡�ﾌKﾌ	5}wｫﾖZ�$硼ｶ_Aﾘ75ｰBm@
