項目,大島町,利島村,新島村,神津島村,都内町村計,都内市町村計
6,13120,1312003307,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ募床,7荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ募床7荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,28,-,-,2,21,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,31,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,1,12,-,-,-,-,-,-,-,-,-,-,2,16,1,12,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,27,2,22,1,20,1,2,-,-,-,-,-,-,2,5,1,3,1,2,-,-,-,-,4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,2,6,-,-,1,2,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003308,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ募床,8荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ募床8荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,1,16,-,-,-,-,-,-,-,-,-,-,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1,6,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,35,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,1,15,1,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13120,1312003200,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,48,4,17,1,8,-,-,1,1,-,-,-,-,2,8,-,-,4,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,31,8,40,4,18,1,4,1,2,-,-,1,4,1,8,2,17,2,17,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,9,40,3,16,-,-,-,-,2,12,-,-,1,4,2,14,-,-,1,6,1,8,2,6,-,-,2,6,2,4,-,-,2,4,-,-,3,11,1,4,1,4,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,117,1,110,1,7,20,52,3,11,1,2,2,9,1,2,13,35,13,35,-,-,1,2,1,2,-,-,2,2,-,-,-,-,2,2,-,-,57,686,3,224,2,14,2,14,-,-,1,3,1,3,-,-,-,-,5,11,14,80,7,54,3,13,3,11,1,2,32,354,11,240,-,-,1,1,5,10,6,57,4,14,3,11,-,-,2,21,9,152,1,1,-,-,-,-,-,-,1,1,2,13,6,138,5,32,-,-,-,-,1,106,68,357,3,13,1,4,1,2,1,7,-,-,-,-,-,-,-,-,-,-,-,-,24,141,5,52,3,18,10,50,6,21,-,-,-,-,-,-,-,-,1,3,-,-,1,3,5,37,1,8,1,2,1,21,2,6,3,7,-,-,3,7,-,-,6,25,-,-,6,25,26,131,-,-,4,5,8,46,1,2,-,-,1,1,-,-,3,9,9,68,1,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
6,13120,1312003201,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,1荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴1荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,8,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,11,-,-,-,-,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003202,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,2荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴2荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,15,1,5,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,4,23,2,6,-,-,1,2,-,-,1,4,-,-,2,17,2,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,25,2,8,-,-,-,-,1,4,-,-,1,4,2,14,-,-,1,6,1,8,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,9,2,7,1,2,1,5,-,-,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,153,1,71,1,9,1,9,-,-,-,-,-,-,-,-,-,-,1,2,4,10,2,5,-,-,1,3,1,2,6,61,3,53,-,-,-,-,1,3,-,-,2,5,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,1,3,1,7,1,7,-,-,-,-,-,-,16,110,1,7,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,7,50,2,25,2,16,1,6,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,29,1,8,-,-,1,21,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,5,19,-,-,-,-,2,13,-,-,-,-,1,1,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003203,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,3荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴3荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,12,3,12,1,8,-,-,1,1,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,110,1,110,-,-,11,24,1,4,-,-,1,4,1,2,7,15,7,15,-,-,1,2,1,2,-,-,1,1,-,-,-,-,1,1,-,-,25,167,-,-,1,5,1,5,-,-,1,3,1,3,-,-,-,-,3,6,7,56,3,37,2,11,2,8,-,-,13,97,2,17,-,-,-,-,2,2,4,49,1,1,3,11,-,-,1,17,4,25,-,-,-,-,-,-,-,-,-,-,-,-,4,25,4,25,-,-,-,-,-,-,24,143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,47,2,20,-,-,3,14,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,-,-,2,4,14,92,-,-,2,3,4,29,1,2,-,-,-,-,-,-,1,2,6,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003204,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,4荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴4荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,1,6,1,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,3,153,1,144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,6,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,14,-,-,-,-,2,9,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,1,5,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003205,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,5荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴5荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,53,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,44,3,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,10,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,1,1,-,-,1,1,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003206,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,6荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴6荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,-,-,-,-,-,-,-,-,1,5,1,8,-,-,-,-,-,-,2,107,1,1,-,-,-,-,-,-,1,1,-,-,1,106,-,-,-,-,-,-,1,106,5,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,1,7,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,1,3,1,1,-,-,1,1,-,-,1,6,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,13120,1312003207,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,7荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴7荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,1,8,-,-,-,-,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,11,-,-,-,-,-,-,-,-,2,11,2,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,6,15,1,2,-,-,1,1,2,5,1,3,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,8,2,6,1,4,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
6,13120,1312003208,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴,8荳∫岼,邱ｴ鬥ｬ蛹ｺ遏ｳ逾樔ｺ慕伴8荳∫岼,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,1,6,-,-,-,-,-,-,2,124,2,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,5,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,1,3,1,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,7,-,-,1,7,2,3,-,-,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,13120,1312003900,邱ｴ鬥ｬ蛹ｺ,邱ｴ鬥ｬ蛹ｺ髢｢逕ｺ蛹�,,邱ｴ鬥ｬ蛹ｺ髢｢逕ｺ蛹�,-,-,-,-,-,-,1,2,1,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,22,1,11,-,-,-,-,1,11,-,-,-,-,-,-,-,-,2,11,1,9,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,26,3,10,2,4,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,38,-,-,-,-,-,-,-,-,-,-,-,-,2,24,1,20,1,4,-,-,4,9,-,-,4,9,1,5,-,-,1,5,-,-,4,29,1,6,-,-,-,-,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,1,4,1,4,-,-,2,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,19,1,41,-,-,1,41,15,43,2,3,-,-,2,3,1,5,7,11,7,11,-,-,3,15,3,15,-,-,2,9,-,-,-,-,2,9,-,-,22,260,1,41,1,2,1,2,-,-,2,4,2,4,-,-,1,2,-,-,5,37,4,14,-,-,1,23,-,-,12,174,9,169,-,-,-,-,1,2,-,-,-,-,2,3,-,-,-,-,13,85,7,75,3,45,-,-,2,23,2,7,1,1,5,9,5,9,-,-,-,-,-,-,38,166,3,4,2,3,1,1,-,-,-,-,2,3,-,-,2,3,-,-,-,-,17,100,2,28,1,5,10,57,4,10,-,-,-,-,-,-,-,-,1,4,1,4,-,-,7,27,2,18,1,1,-,-,4,8,1,2,-,-,1,2,-,-,-,-,-,-,-,-,7,26,-,-,2,3,2,4,-,-,1,2,-,-,-,-,-,-,2,17,3,11,2,7,-,-,-,-,-,-,-,-,2,7,-,-,1,4
